Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
26,film,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,2003,,movie,201,"Adventure,Drama,Fantasy",tt0167260,9.0,2181129,99.9876,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,In de ban van de ring: De terugkeer van de koning,1,26,2116,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0167260/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
27,film,Saturday Night Fever,Saturday Night Fever,1977,,movie,119,"Drama,Music",tt0076666,6.8,95423,99.9871,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Saturday Night Fever,1,27,2058,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0076666/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
28,film,The Longest Day,The Longest Day,1962,,movie,179,"Action,Drama,History",tt0056197,7.7,63376,99.9866,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,The Longest Day,1,28,2049,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0056197/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
29,film,Thunderball,Thunderball,1965,,movie,130,"Action,Adventure,Thriller",tt0059800,6.9,138763,99.9861,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Thunderball,1,29,2042,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0059800/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
30,film,Jurassic Park,Jurassic Park,1993,,movie,127,"Adventure,Sci-Fi",tt0107290,8.2,1191143,99.9856,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Jurassic Park,1,30,2010,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0107290/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
31,film,Gooische Vrouwen 2,Gooische Vrouwen 2,2014,,movie,,,,,,99.9851,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,31,2002,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
32,film,M*A*S*H,MASH,1970,,movie,116,"Comedy,Drama,War",tt0066026,7.3,83349,99.9846,high,NVPI Nederlandse bioscoopbezoekers,No direct NL signal; IMDb global popularity proxy,,0,32,1977,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0066026/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
33,film,La Grande Vadrouille,La Grande Vadrouille,1967,,movie,,,,,,99.9841,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,33,1970,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
34,film,Jaws,Jaws,1975,,movie,124,"Adventure,Drama,Horror",tt0073195,8.1,745618,99.9836,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,De zomer van de witte haai,1,34,1966,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0073195/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
35,film,Dr. No,Dr. No,1962,,movie,110,"Action,Adventure,Thriller",tt0055928,7.2,197108,99.9831,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Dr. No,1,35,1953,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0055928/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
