Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
116,film,Oldboy,Oldeuboi,2003,,movie,120,"Action,Drama,Mystery",tt0364569,8.3,726947,50.1728,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Old Boy,1,,,544,670,,70,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0364569/,
117,film,Young Frankenstein,Young Frankenstein,1974,,movie,106,Comedy,tt0072431,8.0,181108,50.1723,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Young Frankenstein,1,,,2017,3034,,71,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0072431/,
118,film,Stalker,Stalker,1979,,movie,162,"Drama,Sci-Fi",tt0079944,8.0,157184,50.1718,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Stalker,1,,,932,1398,,72,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0079944/,
119,film,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,2004,,movie,108,"Drama,Romance,Sci-Fi",tt0338013,8.3,1190371,50.1713,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Eternal Sunshine of the Spotless Mind,1,,,29,38,,73,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0338013/,
120,film,Marriage Story,Marriage Story,2019,,movie,137,"Drama,Romance",tt7653254,7.9,373860,50.1708,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Marriage Story,1,,,339283,492188,,74,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt7653254/,
121,film,Mad Max: Fury Road,Mad Max: Fury Road,2015,,movie,120,"Action,Adventure,Sci-Fi",tt1392190,8.1,1215002,50.1703,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Mad Max: Fury Road,1,,,56360,76341,,75,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1392190/,
122,film,The Father,The Father,2020,,movie,97,"Drama,Mystery",tt10272386,8.2,247873,50.1698,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Father,1,,,445922,600354,,76,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt10272386/,
123,film,Call Me by Your Name,Call Me by Your Name,2017,,movie,132,"Drama,Romance",tt5726616,7.8,362746,50.1693,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Call Me by Your Name,1,,,241956,398818,,77,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt5726616/,
124,film,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",2017,,movie,115,"Comedy,Crime,Drama",tt5027774,8.1,612639,50.1688,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,"Three Billboards Outside Ebbing, Missouri",1,,,266092,359940,,78,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt5027774/,
125,film,This Is Spinal Tap,This Is Spinal Tap,1984,,movie,82,"Comedy,Music",tt0088258,7.9,161144,50.1683,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,This Is Spinal Tap,1,,,6168,11031,,79,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0088258/,
126,film,Incendies,Incendies,2010,,movie,131,"Drama,Mystery,War",tt1255953,8.3,256087,50.1678,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Incendies,1,,,32118,46738,,80,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1255953/,
127,film,The Secret in Their Eyes,El secreto de sus ojos,2009,,movie,129,"Drama,Mystery,Romance",tt1305806,8.2,244134,50.1673,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,El secreto de sus ojos,1,,,15321,25376,,81,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1305806/,
128,film,A Silent Voice: The Movie,Koe no katachi,2016,,movie,130,"Animation,Drama",tt5323662,8.2,147133,50.1668,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,A Silent Voice,1,,,225063,378064,,82,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt5323662/,
129,film,Before Sunset,Before Sunset,2004,,movie,80,"Drama,Romance",tt0381681,8.1,318055,50.1663,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Before Sunset,1,,,50,80,,83,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0381681/,
130,film,Downfall,Der Untergang,2004,,movie,156,"Biography,Drama,History",tt0363163,8.2,402516,50.1658,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Der Untergang,2,,,489,613,,84,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0363163/,
131,film,Platoon,Platoon,1986,,movie,120,"Drama,War",tt0091763,8.0,474971,50.1653,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Platoon,1,,,635,792,,85,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0091763/,
132,film,Monty Python and the Holy Grail,Monty Python and the Holy Grail,1975,,movie,91,"Adventure,Comedy,Fantasy",tt0071853,8.1,605797,50.1638,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Monty Python and the Holy Grail,1,,,605,762,,88,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0071853/,
133,film,Spotlight,Spotlight,2015,,movie,129,"Biography,Crime,Drama",tt1895587,8.1,538521,50.1633,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Spotlight,1,,,194119,314365,,89,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1895587/,
134,film,12 Years a Slave,12 Years a Slave,2013,,movie,134,"Biography,Drama,History",tt2024544,8.1,791560,50.1628,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,12 Years a Slave,1,,,56258,76203,,90,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt2024544/,
135,film,The Grand Budapest Hotel,The Grand Budapest Hotel,2014,,movie,99,"Comedy,Drama",tt2278388,8.1,981139,50.1623,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Grand Budapest Hotel,1,,,83614,120467,,91,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt2278388/,
136,film,Forrest Gump,Forrest Gump,1994,,movie,142,"Drama,Romance",tt0109830,8.8,2518937,50.1613,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Forrest Gump,1,,,9,13,,93,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0109830/,
137,film,Inception,Inception,2010,,movie,148,"Adventure,Sci-Fi,Thriller",tt1375666,8.8,2847887,50.1608,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Inception,1,,,16662,27205,,94,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1375666/,
138,film,One Battle After Another,One Battle After Another,2025,,movie,161,"Crime,Thriller",tt30144839,7.6,432824,50.1603,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,One Battle After Another,1,,,848797,1054867,,95,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt30144839/,
139,film,Aftersun,Aftersun,2022,,movie,102,Drama,tt19770238,7.6,131505,50.1598,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Aftersun,1,,,775972,965150,,96,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt19770238/,
140,film,The Worst Person in the World,Verdens verste menneske,2021,,movie,128,"Comedy,Drama,Romance",tt10370710,7.7,130651,50.1593,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Worst Person in the World,1,,,494289,660120,,97,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt10370710/,
141,film,Almost Famous,Almost Famous,2000,,movie,122,"Adventure,Comedy,Drama",tt0181875,7.9,316417,50.1588,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Almost Famous,1,,,629,786,,98,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0181875/,
142,film,The Conversation,The Conversation,1974,,movie,113,"Drama,Mystery,Thriller",tt0071360,7.7,136870,50.1583,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Conversation,1,,,470,592,,99,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0071360/,
143,film,Hotel Rwanda,Hotel Rwanda,2004,,movie,121,"Biography,Drama,History",tt0395169,8.1,393719,50.1578,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Hotel Rwanda,1,,,167,205,,100,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0395169/,
144,film,Annie Hall,Annie Hall,1977,,movie,93,"Comedy,Romance",tt0075686,7.9,292208,50.1573,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Annie Hall,1,,,575,703,,101,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0075686/,
145,film,The King's Speech,The King's Speech,2010,,movie,118,"Biography,Drama,History",tt1504320,8.0,735198,50.1568,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The King's Speech,1,,,30866,45269,,102,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1504320/,
146,film,Million Dollar Baby,Million Dollar Baby,2004,,movie,132,"Drama,Sport",tt0405159,8.1,770436,50.1563,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Million Dollar Baby,1,,,41,70,,103,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.t…68787 tokens truncated…866,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Jumpers,1,,,1085761,1327819,659,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt26443616/,
841,film,The Family Plan,The Family Plan,2023,,movie,118,"Action,Comedy",tt16431870,6.3,65575,0.0861,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,827935,1029575,660,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt16431870/,
842,film,Sonic the Hedgehog 3,Sonic the Hedgehog 3,2024,,movie,110,"Action,Adventure,Comedy",tt18259086,6.9,83328,0.0856,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Sonic the Hedgehog 3,1,,,753684,939243,661,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt18259086/,
843,film,San Andreas,San Andreas,2015,,movie,114,"Action,Adventure,Thriller",tt2126355,6.1,277568,0.0851,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,San Andreas,1,,,154554,254128,662,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2126355/,
844,film,Green Lantern,Green Lantern,2011,,movie,114,"Action,Adventure,Sci-Fi",tt1133985,5.5,310209,0.0846,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Green Lantern,1,,,30549,44912,663,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1133985/,
845,film,The Rip,The Rip,2026,,movie,113,"Action,Crime,Drama",tt32642706,6.8,140188,0.0841,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,1065701,1306368,664,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt32642706/,
846,film,Corpse Bride,Corpse Bride,2005,,movie,77,"Animation,Comedy,Drama",tt0121164,7.4,330603,0.0837,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Corpse Bride,1,,,2373,3933,665,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0121164/,
847,film,Mortal Kombat II,Mortal Kombat II,2026,,movie,116,"Action,Adventure,Fantasy",tt17490712,6.3,75680,0.0832,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Mortal Kombat II,1,,,746852,931285,666,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt17490712/,
848,film,The Princess and the Frog,The Princess and the Frog,2009,,movie,97,"Adventure,Animation,Comedy",tt0780521,7.2,189105,0.0827,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,De prinses en de kikker,2,,,5411,10198,667,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0780521/,
849,film,A Beautiful Mind,A Beautiful Mind,2001,,movie,135,"Biography,Drama,Mystery",tt0268978,8.2,1059599,0.0822,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,A Beautiful Mind,1,,,358,453,668,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0268978/,
850,film,Ted 2,Ted 2,2015,,movie,115,Comedy,tt2637276,6.3,263509,0.0812,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Ted 2,1,,,132669,214756,670,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2637276/,
851,film,Ice Age: Continental Drift,Ice Age: Continental Drift,2012,,movie,88,"Adventure,Animation,Comedy",tt1667889,6.5,245282,0.0807,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Ice Age: Continental Drift,1,,,41309,57800,671,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1667889/,
852,film,Blue Beetle,Blue Beetle,2023,,movie,127,"Action,Adventure,Sci-Fi",tt9362930,5.9,118457,0.0802,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,415437,565770,672,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt9362930/,
853,film,Damsel,Damsel,2024,,movie,110,"Action,Adventure,Fantasy",tt13452446,6.1,121432,0.0797,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,601689,763215,673,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt13452446/,
854,film,2001: A Space Odyssey,2001: A Space Odyssey,1968,,movie,149,"Adventure,Sci-Fi",tt0062622,8.3,788759,0.0792,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,2001: A Space Odyssey,2,,,33,62,674,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0062622/,
855,film,Madame Web,Madame Web,2024,,movie,116,"Action,Thriller",tt11057302,4.1,116910,0.0787,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,474113,634492,675,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt11057302/,
856,film,500 Days of Summer,(500) Days of Summer,2009,,movie,95,"Comedy,Drama,Romance",tt1022603,7.6,624231,0.0777,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,500 Days of Summer,2,,,12224,19913,677,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1022603/,
857,film,The Devil Wears Prada 2,The Devil Wears Prada 2,2026,,movie,119,"Comedy,Drama",tt33612209,6.4,89500,0.0772,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,1074519,1314481,678,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt33612209/,
858,film,28 Weeks Later,28 Weeks Later,2007,,movie,100,"Horror,Sci-Fi",tt0463854,6.8,366584,0.0767,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,28 Weeks Later,1,,,1021,1562,679,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0463854/,
859,film,Independence Day: Resurgence,Independence Day: Resurgence,2016,,movie,120,"Action,Adventure,Sci-Fi",tt1628841,5.2,201200,0.0762,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Independence Day: Resurgence,1,,,33179,47933,680,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1628841/,
860,film,National Treasure,National Treasure,2004,,movie,131,"Action,Adventure,Mystery",tt0368891,6.9,380060,0.0757,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,National Treasure,1,,,1413,2059,681,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0368891/,
861,film,The Mummy Returns,The Mummy Returns,2001,,movie,130,"Action,Adventure,Fantasy",tt0209163,6.4,369810,0.0752,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Mummy Returns,1,,,1163,1734,682,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0209163/,
862,film,About Time,About Time,2013,,movie,123,"Comedy,Drama,Fantasy",tt2194499,7.8,439002,0.0747,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,About Time,1,,,84894,122906,683,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2194499/,
863,film,A Man Called Otto,A Man Called Otto,2022,,movie,126,"Comedy,Drama",tt7405458,7.5,214124,0.0742,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,751967,937278,684,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt7405458/,
864,film,Novocaine,Novocaine,2025,,movie,110,"Action,Comedy,Crime",tt29603959,6.5,91809,0.0737,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,964679,1195506,685,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt29603959/,
865,film,School of Rock,School of Rock,2003,,movie,109,"Comedy,Music",tt0332379,7.2,360538,0.0732,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,School of Rock,1,,,1039,1584,686,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0332379/,
866,film,Silver Linings Playbook,Silver Linings Playbook,2012,,movie,122,"Comedy,Drama,Romance",tt1045658,7.7,775992,0.0727,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Silver Linings Playbook,1,,,61867,82693,687,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1045658/,
867,film,Real Steel,Real Steel,2011,,movie,127,"Action,Drama,Sci-Fi",tt0433035,7.1,383046,0.0717,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Real Steel,1,,,25482,39254,689,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0433035/,
868,film,Armageddon,Armageddon,1998,,movie,151,"Action,Adventure,Sci-Fi",tt0120591,6.7,482100,0.0712,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Armageddon,1,,,64,95,690,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0120591/,
869,film,The Punisher: One Last Kill,The Punisher: One Last Kill,2026,,movie,,,tt36042156,,,0.0707,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",Trakt all-time popularity; no IMDb metadata match,,0,,,1178309,1439930,691,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt36042156/,
870,film,The Fault in Our Stars,The Fault in Our Stars,2014,,movie,126,"Drama,Romance",tt2582846,7.6,426612,0.0702,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Fault in Our Stars,1,,,136907,222935,692,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2582846/,
